title,media,date,datetime,desc,link,img
"San Andrés Islas busca restablecer el turismo, pero los altos costos perjudican la situación",Colombia.com,Hace 1 día,,San Andrés sigue buscando alternativas para recuperar el número de turistas que solían recibir antes de pandemia.,https://www.colombia.com/turismo/noticias/viajeros-analizan-el-destino-mas-economico-para-viajar-panama-o-san-andres-480435&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIABAC&usg=AOvVaw2fWlerhJzrLcDifMyZFcoH,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
¿Cómo van los planes de desarrollo territorial? Esto dicen los gobernadores,Semana.com,Hace 4 días,,"Con estrategias en infraestructura, salud, educación, seguridad y turismo, las gobernaciones de Colombia trabajan en la implementación de sus planes de...",https://www.semana.com/mejor-colombia/articulo/como-van-los-planes-de-desarrollo-territorial-esto-dicen-los-gobernadores/202404/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQICRAC&usg=AOvVaw1PoBHkgbCkLfvKYNUEEi_c,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
“Vengan a la Isla”: Habitante de San Andrés pide que vuelvan los turistas porque hay desolación,Publimetro Colombia,Hace 1 mes,,"La aerolínea de bajo costo, JetSmart, abrió su nueva ruta de Medellín a San Andrés para impulsar el turismo en la isla.",https://www.publimetro.co/noticias/2024/07/18/vengan-a-la-isla-habitante-de-san-andres-pide-que-vuelvan-los-turistas-porque-hay-desolacion/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIAxAC&usg=AOvVaw0EN3NxLZJa1ZBCW2iDuUCT,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"La mejor playa de Sudamérica queda en Colombia: si piensa vacacionar, acá le contamos dónde queda",Infobae,Hace 1 mes,,"Las playas del Archipiélago de San Andrés, Providencia y Santa Catalina fueron galardonadas por los World Travel Awards 2024 como las mejores de Sudamérica...",https://www.infobae.com/colombia/2024/07/06/la-mejor-playa-de-sudamerica-queda-en-colombia-si-piensa-vacacionar-aca-le-contamos-donde-queda/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIARAC&usg=AOvVaw2EXbmjn5_3pjOmlkLX31GP,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Colombia tiene la mejor playa de Sudamérica para vacacionar. ¿Dónde queda?,Semana.com,Hace 1 mes,,Su diversa oferta turística la convirtió en el mejor destino paradisíaco según los World Travel Awards 2024.,https://www.semana.com/mejor-colombia/articulo/colombia-tiene-la-mejor-playa-de-sudamerica-para-vacacionar-donde-queda/202450/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIBBAC&usg=AOvVaw19tOj0g83vjGSI4GhHzpx2,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
San Andrés Islas: así ha cambiado el turismo en el archipiélago en los últimos años,Semana.com,Hace 1 mes,,Hoteles boutique y una mayor oferta gastronómica forman parte de los esfuerzos del sector por recuperar su dinamismo.,https://www.semana.com/mejor-colombia/articulo/san-andres-islas-asi-ha-cambiado-el-turismo-en-el-archipielago-en-los-ultimo-anos/202400/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIBhAC&usg=AOvVaw1wPuT8fU02th4mtJVWq0Mj,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Desde Medellín le apuestan al turismo en el archipiélago de San Andrés,ELTIEMPO.COM,Hace 1 mes,,La aerolínea JetSMART lanzó vuelo directo con cinco frecuencias semanales. Buscan apoyar las visitas de la isla caribeña.,https://www.eltiempo.com/colombia/medellin/desde-medellin-le-apuestan-al-turismo-en-el-archipielago-de-san-andres-3357722&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIAhAC&usg=AOvVaw1_koa2E6dii1I0wvSkjF58,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Mis Preguntas, con Roberto Pombo: ¿Qué está pasando con el turismo en Colombia?",Caracol Radio,Hace 1 mes,,"En este episodio de Mis Preguntas, Roberto Pombo se pregunta: ¿puede el turismo reemplazar las divisas que genera la explotación de petróleo?Hace 1 mes",https://caracol.com.co/2024/06/23/mis-preguntas-con-roberto-pombo-que-esta-pasando-con-el-turismo-en-colombia/&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIBRAC&usg=AOvVaw0ylOWi3IaiwdLKUvvqVscl,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
La iniciativa con la que el Gobierno Petro pretende promover el turismo en San Andrés,El Colombiano,Hace 2 meses,,"La grave crisis turística que golpea a la isla de San Andrés, con una ocupación hotelera que no supera el 40% este año y una contracción del PIB del -...",https://www.elcolombiano.com/colombia/gobierno-turismo-san-andres-islas-KF24741586&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQIBxAC&usg=AOvVaw0BWYJ461wQjvqD0iPAm3-y,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
“No van ni 50 pasajeros”: video evidencia vuelos a San Andrés con poca gente,Noticias Caracol,Hace 2 meses,,"Desde hace algún tiempo, las calles de San Andrés se ven poco concurridas. El turismo en la isla evidencia una grave crisis por la falta de visitantes.",https://www.noticiascaracol.com/caribe/no-van-ni-50-pasajeros-video-evidencia-vuelos-a-san-andres-con-poca-gente-rg10&ved=2ahUKEwia_fnGk_uHAxXzFVkFHcfcF-kQxfQBegQICBAC&usg=AOvVaw1BIpYljohfeMlfv66t-PFM,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
